시설명,자치구,연령구분,Longitude,Latitude
은평10호점 우리동네키움센터,은평구,초등학생,126.92042,37.59988
제5호(성북권) 거점형 우리동네키움센터,성북구,초등학생,127.03713,37.59222
성북11호점 우리동네키움센터(삼선동),성북구,초등학생,127.01336,37.58574
성동12호점 우리동네키움센터(서울숲아이꿈누리터),성동구,초등학생,127.04081832208549,37.5489235820505
구로18호점 우리동네키움센터(구로신도림),구로구,초등학생,126.88521,37.50959
동작13호점 융합형 우리동네키움센터(사당동),동작구,초등학생,126.97422,37.48183
송파17호점 우리동네키움센터(거여2동 송파키움센터),송파구,초등학생,127.15057,37.49321
관악3호점 우리동네키움센터,관악구,초등학생,126.95832,37.48667
중랑구5호점 망우본동우리동네키움센터(중랑아동돌봄센터),중랑구,초등학생,127.10619908755804,37.60853160030212
중랑구4호점 면목7동우리동네키움센터(중랑아동돌봄센터),중랑구,초등학생,127.08959,37.58003
강서5호점 우리동네키움센터(공항동),강서구,초등학생,126.822029779833,37.55878843505723
동대문구 5호점 우리동네키움센터,동대문구,초등학생,127.06997,37.58718
양천구 4호점 우리동네키움센터,양천구,초등학생,126.86357264980366,37.54836216082769
강남8호점 우리동네키움센터(자곡다함께키움센터),강남구,초등학생,127.0945,37.4715
강북3호점 우리동네키움센터(융합형)(삼양동),강북구,초등학생,127.01491087636816,37.62201041567743
영등포13호점 우리동네키움센터(신길6동 아이랜드),영등포구,초등학생,126.91887411737667,37.50140870885531
강북4호점 우리동네키움센터(수유1동),강북구,초등학생,127.01408,37.63153
강동7호점 우리동네키움센터(천호2동),강동구,초등학생,127.12876,37.54521
강남7호점 우리동네키움센터(누리봄다함께키움센터),강남구,초등학생,127.07416,37.49109
강남6호점 우리동네키움센터(논현다함께키움센터),강남구,초등학생,127.0418,37.51158
동작12호점 우리동네키움센터(상도2동),동작구,초등학생,126.9456705874904,37.501265600669015
서대문구7호점 우리동네키움센터,서대문구,초등학생,126.9194,37.57411
강북5호점 우리동네키움센터(송중동),강북구,초등학생,127.03024,37.62302
서대문구6호점 우리동네키움센터,서대문구,초등학생,126.91877,37.5817
서대문구5호점 우리동네키움센터(천연동 친구랑),서대문구,초등학생,126.9610860498178,37.56956827084229
마포구7호점 우리동네키움센터(서강동),마포구,초등학생,126.92769,37.54586
도봉구 6호점 우리동네키움센터,도봉구,초등학생,127.03917,37.64257
도봉구 5호점 융합형 우리동네키움센터(마을연계),도봉구,초등학생,127.03144,37.65078
동대문구 4호점 우리동네키움센터,동대문구,초등학생,127.05579745080512,37.57485709180429
중랑구3호점 면목4동우리동네키움센터(중랑아동돌봄센터),중랑구,초등학생,127.0858561064572,37.57252026704589
노원27호점 우리동네키움센터(중계청구3차 아이휴센터),노원구,초등학생,127.07571,37.6499
노원26호점 우리동네키움센터(중계온마을 아이휴센터),노원구,초등학생,127.075,37.65971
